,Country,City,AccentCity,Region,Population,Latitude,Longitude
105041,am,azatavan,Azatavan,2.0,2886.0,39.9833333,44.5
105042,am,azatavan,Azatavan,3.0,2886.0,40.1333333,44.0666667
105063,am,baghramyan,Baghramyan,3.0,1690.0,40.1908333,43.849444399999996
105066,am,bagratashen,Bagratashen,9.0,3024.0,41.2458333,44.8211111
105072,am,balahovit,Balahovit,5.0,2982.0,40.2536111,44.603888899999994
105079,am,bambakashat,Bambakashat,3.0,3089.0,40.1144444,44.012222200000004
105087,am,bardzrashen,Bardzrashen,2.0,1273.0,40.0852778,44.5786111
105121,am,bazum,Bazum,6.0,1114.0,40.868055600000005,44.445555600000006
105130,am,berdavan,Berdavan,9.0,3150.0,41.2027778,45.0033333
105131,am,berd,Berd,9.0,8374.0,40.8808333,45.3916667
105166,am,brnakot,Brnakot,8.0,1912.0,39.4969444,45.9730556
105170,am,brun,Brun,8.0,1028.0,39.533888899999994,46.30305560000001
105179,am,buzhakan,Buzhakan,5.0,1678.0,40.4552778,44.5205556
105181,am,byurakan,Byurakan,1.0,3902.0,40.3413889,44.273611100000004
105182,am,byuravan,Byuravan,2.0,1228.0,40.0161111,44.5186111
105184,am,byureghavan,Byureghavan,5.0,6972.0,40.3147222,44.593611100000004
105197,am,chambarak,Chambarak,4.0,6153.0,40.5952778,45.3475
105241,am,chochkan,Chochkan,6.0,1740.0,41.186111100000005,44.83138889999999
105258,am,dalar,Dalar,2.0,2504.0,39.966944399999996,44.5363889
105259,am,dalarik,Dalarik,3.0,3080.0,40.2183333,43.8602778
105274,am,darakert,Darakert,2.0,2325.0,40.1058333,44.413888899999996
105287,am,darpas,Darpas,6.0,1785.0,40.838055600000004,44.423333299999996
105297,am,dashtavan,Dashtavan,2.0,1762.0,40.1016667,44.390555600000006
105313,am,ddmashen,Ddmashen,4.0,2157.0,40.57194439999999,44.8122222
105330,am,dilijan,Dilijan,9.0,13480.0,40.7408333,44.8630556
105334,am,dimitrov,Dimitrov,2.0,1212.0,40.008055600000006,44.4880556
105341,am,doghs,Doghs,1.0,1186.0,40.222777799999996,44.271666700000004
105352,am,drakhtik,Drakhtik,4.0,1016.0,40.5688889,45.231944399999996
105353,am,dsegh,Dsegh,6.0,2484.0,40.963333299999995,44.6516667
105362,am,dvin,Dvin,2.0,2795.0,40.02,44.5852778
105412,am,dzitankov,Dzitankov,7.0,1162.0,40.515555600000006,43.8133333
105415,am,dzoraghbyur,Dzoraghbyur,5.0,2011.0,40.205,44.643055600000004
105421,am,dzoragyukh,Dzoragyukh,4.0,3570.0,40.175277799999996,45.175
105457,am,fantan,Fantan,5.0,1019.0,40.3941667,44.685
105460,am,fioletovo,Fioletovo,6.0,1264.0,40.7247222,44.71388889999999
105472,am,gagarin,Gagarin,4.0,1305.0,40.536944399999996,44.8577778
105478,am,gandzak,Gandzak,4.0,3841.0,40.3147222,45.111388899999994
105482,am,garni,Garni,5.0,6827.0,40.1194444,44.7230556
105489,am,gavar,Gavar,4.0,21681.0,40.3588889,45.1266667
105492,am,gay,Gay,2.0,3309.0,40.0838889,44.305555600000005
105504,am,geghamasar,Geghamasar,4.0,1060.0,40.3116667,45.68
105505,am,geghamavan,Geghamavan,4.0,1597.0,40.561944399999994,44.8827778
105506,am,geghanist,Geghanist,2.0,2409.0,40.1497222,44.4344444
105540,am,getahovit,Getahovit,9.0,2005.0,40.8958333,45.1313889
105550,am,getashen,Getashen,3.0,2114.0,40.0433333,43.9447222
105555,am,getazat,Getazat,2.0,1947.0,40.03805560000001,44.563888899999995
105584,am,ghukasavan,Ghukasavan,2.0,2113.0,40.1261111,44.417777799999996
105597,am,gladzor,Gladzor,10.0,2080.0,39.7783333,45.347777799999996
105602,am,gogaran,Gogaran,6.0,1088.0,40.8955556,44.1991667
105619,am,goris,Goris,8.0,20379.0,39.5077778,46.3386111
105622,am,gosh,Gosh,9.0,994.0,40.7225,45.0033333
105624,am,griboyedov,Griboyedov,3.0,1879.0,40.1130556,44.271666700000004
105655,am,gyulagarak,Gyulagarak,6.0,2109.0,40.9697222,44.471388899999994
105669,am,gyumri,Gyumri,7.0,148383.0,40.789444399999994,43.8475
105676,am,haghartsin,Haghartsin,9.0,3370.0,40.7780556,44.9625
105702,am,hayanist,Hayanist,3.0,2031.0,40.1197222,44.3775
105704,am,haykashen,Haykashen,3.0,1140.0,40.0727778,44.3069444
105705,am,haykavan,Haykavan,7.0,1201.0,40.7558333,43.77
105714,am,hnaberd,Hnaberd,1.0,1817.0,40.6427778,44.1444444
105716,am,hoktember,Hoktember,3.0,5348.0,40.1361111,44.0138889
105720,am,horom,Horom,7.0,1893.0,40.654166700000005,43.8822222
105725,am,hovtashat,Hovtashat,2.0,3472.0,40.101944399999994,44.3427778
105726,am,hovtashen,Hovtashen,2.0,1134.0,40.02444439999999,44.45
105729,am,hrazdan,Hrazdan,5.0,40796.0,40.5016667,44.7547222
105736,am,ijevan,Ijevan,9.0,14737.0,40.875555600000006,45.1491667
