Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bolivia,BOL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.771659907,3.897591416,4.362081999,14.0649654,38.21011175,8.041452881,46.95961094,55.22567292,39.99114911,13.51959671,6.878335079,7.891070688,9.207748543,8.938800147,22.29928686,4.679168788,4.434481307,4.933155218,8.397571004,13.2677502,9.223904918,9.434264237,,
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.295977933,6.460878493,5.202652818,4.917602132,3.95392092,4.595900468,4.888255622,6.213314209,7.536263613,9.410684233,13.17285467,18.72725987,19.24616073,16.52029903,11.95599512,11.59272243,12.84314848,12.07642327,11.86594132,11.64693565,13.19727786,11.20763185,9.720194162,10.49270307,9.63455019,,
Barbados,BRB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.41445563,19.37608359,20.00397836,18.43483435,15.3343587,17.78631782,20.96742541,25.23925863,22.7147219,21.37945342,15.9346116,15.62871009,15.93356508,20.34828202,18.06371867,9.992496605,4.273125349,9.799475916,12.13086509,13.6876076,12.0270792,15.26603467,,
Brunei Darussalam,BRN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143313741,,,5.486936357,8.999055141,,,3.45E-05,0.000141509,0.000453825,6.046940029,,6.460718135,,,,,,12.77106573,15.24223582,,
Bhutan,BTN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452829774,,,,,,,4.144933389,5.486603367,0.751317632,0.125439808,0.215992735,0.13731061,8.76E-05,,,,
Botswana,BWA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510234321,0.253829474,0.512387789,0.449420996,0.416845086,0.439827419,0.421133506,0.43012044,0.566611135,0.924868482,0.399678758,0.868128661,1.174459251,0.375552003,,
Central African Republic,CAF,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.893538539,0.244925744,0.456537282,0.330858669,0.370790448,0.298927225,0.157223779,0.082664695,1.300085688,0.047032434,0.113157249,0.235889745,0.045998672,0.252900305,0.749160201,0.05823288,41.83742404,17.10639885,0.032534632,1.413306999,0.038264507,,
Canada,CAN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79141558,12.05035161,13.75593582,15.9147325,14.89629768,13.93698098,13.81223138,14.98592861,15.82917166,15.54943269,15.55952168,14.95138062,18.72534481,16.64650348,14.19283221,13.72987327,12.09374088,13.08441299,13.34499585,12.75221945,13.60045257,16.25767275,14.04658137,13.42582088,11.39118131,14.05707514,,
Central Europe and the Baltics,CEB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.519112555,3.631306073,4.275793271,4.692215794,6.867324084,7.479920494,8.271324725,9.794446462,9.508168903,10.11814185,10.14408201,10.87954088,10.45798106,10.42058887,9.558561266,10.09356937,11.37856389,11.71964526,11.39084918,10.84398568,10.52720748,,
Switzerland,CHE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05885347,15.77161652,15.57671706,15.54776129,15.92934241,15.60990652,15.77294951,17.14135343,17.7751268,18.01263543,19.29127989,21.83141639,22.61694095,23.44167314,24.19951825,24.74491885,24.35684292,24.17466797,23.90361435,23.28144187,24.36564513,26.03229824,25.33659826,24.85503126,25.77512019,26.54542345,,
Channel Islands,CHI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.682247302,1.991528221,2.366165451,2.379427211,2.147470475,3.339689635,3.66048991,3.327845316,3.672549683,3.23902037,3.406050313,3.17811683,3.777844265,4.140212566,5.372277499,6.609132862,6.389554888,6.785042503,5.884394185,5.372514142,5.493881818,4.604735767,4.642983994,4.897884787,,
China,CHN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.435049262,7.094824898,8.291803292,10.4318147,12.41712404,13.12418003,15.3563988,17.19960392,18.9843797,20.95651527,23.66571478,27.37925315,30.06445872,30.84359799,30.51443157,26.66237275,25.56531104,27.53404158,27.51270427,25.8079484,26.27400734,26.96548952,,
Cote d'Ivoire,CIV,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.797256252,1.92022919,5.994908591,4.462945119,7.647873459,2.865012369,3.261764964,2.399809007,3.812376911,13.20956002,11.55255384,14.1789014,12.719222,11.85987579,8.22725181,2.171582839,15.08146787,8.523173101,1.344313187,,
Cameroon,CMR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.187747137,,,,,2.628889245,1.758722564,1.034814543,,,1.388853815,1.376443863,1.058652046,2.859435319,2.062836394,2.207316996,2.735688879,2.929124529,1.965343603,2.516908119,4.868796738,5.903446539,3.740232193,,,
"Congo, Rep.",COG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.050453901,16.04296974,12.76702264,,,,,,,,,,,,2.221095533,4.329715111,3.682613553,3.736884669,2.560300763,2.823095422,1.567650582,,
Colombia,COL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.223920849,6.861886741,5.862064152,5.710056223,6.671060595,7.743427063,8.02107313,8.776844408,8.180491498,7.740420729,7.211090466,7.17301452,6.615023429,5.694387942,4.991174748,4.075887763,2.909197078,3.723762877,5.220021659,5.056319809,4.327384992,5.189986574,7.393976584,,
Comoros,COM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.782331006,0.09143771,4.732323008,1.147054849,,0.498572589,2.194016127,1.323836609,25.2062661,0.076382011,0.074790752,0.626740546,,1.462166136,7.336930031,,,,,,
Cabo Verde,CPV,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.555472843,5.910202678,0.815744885,0.927467757,0.029811443,,,0.003011483,0,0,,,,0.601739492,,,,
